KRYON x BRITIMP - MODELO FINANCIERO 3 ANOS,,,,,,,
Escenario: BASE (conservador),,,,,,,
Moneda: PYG millones - USD ref tipo cambio 6500,,,,,,,
,,,,,,,
SECCION 1: INGRESOS,,,,,,,
,Plan,Precio anual PYG,Ano 1,Ano 2,Ano 3,Comentario,
Cloud Essentials,PYG 14.5M/mes,157,313 (2 clientes),783 (5 clientes),1566 (10 clientes),Coop financieras y retail chico,
Cloud Business,PYG 45M/mes,486,972 (2 clientes),2430 (5 clientes),4860 (10 clientes),Cooperativas grandes y medianas,
Cloud Enterprise,PYG 130M/mes,1404,0 (0),1404 (1 cliente),4212 (3 clientes),Bancos tier-2 y telcos medianos,
Local Growth,PYG 260M/ano,260,260 (1 cliente),780 (3 clientes),1300 (5 clientes),Ministerios pequenos y hospitales,
Local Professional,PYG 780M/ano,780,780 (1 cliente),2340 (3 clientes),4680 (6 clientes),Bancos medianos y telcos,
Local Enterprise,PYG 2080M/ano,2080,0 (0),2080 (1 cliente),4160 (2 clientes),Banca top o ministerios grandes,
Add-ons / servicios profesionales,variable,variable,150 (estimado),700 (mayor mix),1800 (estimado),Pentest dirigido red team skills custom,
,,,,,,,
TOTAL INGRESOS PYG,,,1925,10517,22578,,
TOTAL INGRESOS USD,,,296000,1618000,3473000,Al tipo de cambio 6500 PYG/USD,
CLIENTES TOTALES,,,4,18,36,Crecimiento proyectado,
TICKET PROMEDIO PYG,,,481M,584M,627M,Mix mejora hacia Local Enterprise,
,,,,,,,
SECCION 2: COSTOS,,,,,,,
,Concepto,Mensual,Ano 1,Ano 2,Ano 3,Comentario,
Personal,Tech lead (CTO) tiempo completo,15M,180,216,240,Vos mas aumento anual,
Personal,Dev senior 1,12M,0,144,180,Arranca mes 6 ano 1,
Personal,Dev senior 2,12M,0,0,180,Arranca ano 3,
Personal,Preventa / sales engineer,10M,80,120,144,Arranca mes 5 ano 1,
Personal,Comercial base + comisiones,15M,150,250,320,BritImp aporta parcial,
Personal,Customer success (ano 2+),8M,0,48,96,Requerido para >15 clientes,
Infraestructura,GPU servers cloud dev demo,5M,60,72,84,Crecimiento de carga,
Infraestructura,SaaS tools GitHub Notion etc,2M,24,28,32,,
Infraestructura,Ollama hosting pro Tigo o propio,4M,24,48,60,Solo ano 2+ Tigo Business,
Licencias,Licencias tooling varias,3M,36,42,48,Semgrep OSS audit herramientas,
Marketing,Eventos ferias publicidad,6M,72,96,120,Segurinfo ISACA etc,
Legal,Contratos NDAs societario,3M,36,36,42,BritImp tiene equipo propio - parcial,
Certificaciones,ISO 27001 propia (ano 1),-,80,25,25,One-time + mantenimiento,
Certificaciones,PCI-DSS QSA partner,-,0,45,45,Alianza con QSA argentina,
Contingencia,10% presupuesto reserva,-,74,98,142,Buffer para imprevistos,
,,,,,,,
TOTAL COSTOS PYG,,,816,1268,1758,,
TOTAL COSTOS USD,,,126000,195000,271000,,
,,,,,,,
SECCION 3: RENTABILIDAD,,,,,,,
,Concepto,,Ano 1,Ano 2,Ano 3,,
,Ingresos PYG,,1925,10517,22578,,
,Costos PYG,,816,1268,1758,,
,Resultado operativo PYG,,1109,9249,20820,,
,Margen operativo %,,57.6%,87.9%,92.2%,Sin considerar revenue share BritImp,
,,,,,,,
SECCION 4: REVENUE SHARE Y FLUJO NETO,,,,,,,
,Concepto,,Ano 1,Ano 2,Ano 3,Notas,
,Ingresos totales,,1925,10517,22578,,
,Revenue share BritImp 40% ano 1,,770,3507 (33%),5645 (25%),Escalado decreciente por performance,
,Costos operativos,,816,1268,1758,,
,Resultado neto Kryon PYG,,339,5742,15175,,
,Resultado neto USD,,52000,884000,2335000,,
,,,,,,,
SECCION 5: SENSIBILIDADES,,,,,,,
,Escenario,Mult. ingresos,Total 3 anos PYG,Total 3 anos USD,Comentario,
,CONSERVADOR (-30%),0.7,24514,3771000,Clientes menores o ciclo mas lento,
,BASE,1.0,35020,5388000,Plan actual de arriba,
,OPTIMISTA (+40%),1.4,49028,7543000,Entran 2-3 clientes grandes faster,
,HOME RUN (+80%),1.8,63036,9698000,Banco top + ministerio grande,
,,,,,,,
SECCION 6: BREAK EVEN ANALISIS,,,,,,,
,Mes,Ingresos acumulados PYG,Costos acumulados PYG,Resultado neto acumulado,Comentario,
,Mes 1-6,160,408,-248,Inversion pura arranque,
,Mes 7-12,1925,816,1109,Primeros clientes cierran,
,Mes 13-18,6221,1326,4895,Ramp comercial banca/telco,
,Mes 19-24,10517,1768,8749,Break even definitivo ano 2,
,Mes 25-30,16547,2363,14184,Mix Enterprise kicks in,
,Mes 31-36,22578,3026,19552,Proyeccion fin ano 3,
,,,,,,,
SECCION 7: INVERSION INICIAL REQUERIDA,,,,,,,
,Concepto,Monto PYG,Monto USD,Timing,,
,Capital circulante 6 meses,500,77000,Mes 1,,
,Certificaciones y compliance,120,18500,Mes 1-3,,
,Marketing + eventos ano 1,72,11000,Distribuido,,
,Buffer de contingencia,150,23000,Reserva,,
,Equipamiento inicial,80,12300,Mes 1,,
,TOTAL INVERSION ANO 1,922,142000,,Sin contar aporte BritImp (oficina legal etc),
,,,,,,,
SECCION 8: HITOS CRITICOS,,,,,,,
,Timing,Hito,Riesgo si no se cumple,Mitigacion,,
,Mes 3,Primer cliente faro firmado,Cash runway corto,Reducir a 1 dev senior,,
,Mes 6,3 clientes totales,Validacion de mercado fallida,Pivot pricing o vertical,,
,Mes 12,7-8 clientes Cloud,Ingresos fuera de target,Push Local Enterprise mes 13+,,
,Mes 18,Primer cliente Local Enterprise,Margen limitado,Subir tickets Cloud Enterprise,,
,Mes 24,Break-even confirmado,Necesidad de ronda,Aceptar seed de 250-400k USD,,
,Mes 30,Expansion Uruguay iniciada,Dependencia total PY,Dar prioridad a pais 2,,
,,,,,,,
NOTAS FINALES,,,,,,,
1. Todas las cifras en PYG millones salvo indicacion contraria,,,,,,,
2. Tipo de cambio referencia 6500 PYG/USD - ajustar en proyecciones reales,,,,,,,
3. Revenue share BritImp escalado: 40% -> 33% -> 25% para incentivar crecimiento,,,,,,,
4. El escenario BASE asume BritImp aporta oficina + 30% posiciones comerciales,,,,,,,
5. Ano 1 requiere aporte de capital inicial por cierre de ciclo de ventas largo,,,,,,,
6. Ano 2+ el negocio genera caja para reinvertir en expansion regional,,,,,,,
7. Sensibilidad positiva al mix: mas clientes Local Enterprise = margen exponencial,,,,,,,
